checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(92/101) Batch: 1.749s | TOTAL: 3min | ETA: 0min | Loss: 0.1037 | Acc_t:  0.9554 | IOU_t:  0.9208 | IOU_k:  0.8756
(93/101) Batch: 1.752s | TOTAL: 3min | ETA: 0min | Loss: 0.1057 | Acc_t:  0.9556 | IOU_t:  0.9209 | IOU_k:  0.8758
(94/101) Batch: 1.755s | TOTAL: 3min | ETA: 0min | Loss: 0.1072 | Acc_t:  0.9555 | IOU_t:  0.9208 | IOU_k:  0.8758
(95/101) Batch: 1.756s | TOTAL: 3min | ETA: 0min | Loss: 0.1091 | Acc_t:  0.9556 | IOU_t:  0.9209 | IOU_k:  0.8760
(96/101) Batch: 1.754s | TOTAL: 3min | ETA: 0min | Loss: 0.1085 | Acc_t:  0.9557 | IOU_t:  0.9209 | IOU_k:  0.8758
(97/101) Batch: 1.756s | TOTAL: 3min | ETA: 0min | Loss: 0.1083 | Acc_t:  0.9557 | IOU_t:  0.9206 | IOU_k:  0.8758
(98/101) Batch: 1.753s | TOTAL: 3min | ETA: 0min | Loss: 0.1078 | Acc_t:  0.9557 | IOU_t:  0.9207 | IOU_k:  0.8757
(99/101) Batch: 1.751s | TOTAL: 3min | ETA: 0min | Loss: 0.1097 | Acc_t:  0.9558 | IOU_t:  0.9207 | IOU_k:  0.8756
(100/101) Batch: 1.750s | TOTAL: 3min | ETA: 0min | Loss: 0.1092 | Acc_t:  0.9558 | IOU_t:  0.9205 | IOU_k:  0.8757
(101/101) Batch: 1.753s | TOTAL: 3min | ETA: 0min | Loss: 0.1087 | Acc_t:  0.9560 | IOU_t:  0.9206 | IOU_k:  0.8759

Epoch: [2 | 200] LR: 0.000100
(1/101) Batch: 1.419s | TOTAL: 0min | ETA: 2min | Loss: 0.0467 | Acc_t:  0.9705 | IOU_t:  0.9335 | IOU_k:  0.8937
(2/101) Batch: 1.423s | TOTAL: 0min | ETA: 2min | Loss: 0.0562 | Acc_t:  0.9647 | IOU_t:  0.9175 | IOU_k:  0.8754
(3/101) Batch: 1.579s | TOTAL: 0min | ETA: 3min | Loss: 0.0571 | Acc_t:  0.9688 | IOU_t:  0.9215 | IOU_k:  0.8768
(4/101) Batch: 1.606s | TOTAL: 0min | ETA: 3min | Loss: 0.0574 | Acc_t:  0.9640 | IOU_t:  0.9171 | IOU_k:  0.8782
(5/101) Batch: 1.602s | TOTAL: 0min | ETA: 3min | Loss: 0.0584 | Acc_t:  0.9641 | IOU_t:  0.9190 | IOU_k:  0.8780
(6/101) Batch: 1.625s | TOTAL: 0min | ETA: 3min | Loss: 0.0560 | Acc_t:  0.9667 | IOU_t:  0.9230 | IOU_k:  0.8811
(7/101) Batch: 1.607s | TOTAL: 0min | ETA: 3min | Loss: 0.0533 | Acc_t:  0.9691 | IOU_t:  0.9282 | IOU_k:  0.8836
(8/101) Batch: 1.641s | TOTAL: 0min | ETA: 3min | Loss: 0.0518 | Acc_t:  0.9705 | IOU_t:  0.9310 | IOU_k:  0.8859
(9/101) Batch: 1.643s | TOTAL: 0min | ETA: 3min | Loss: 0.0615 | Acc_t:  0.9688 | IOU_t:  0.9304 | IOU_k:  0.8840
(10/101) Batch: 1.653s | TOTAL: 0min | ETA: 3min | Loss: 0.0610 | Acc_t:  0.9674 | IOU_t:  0.9282 | IOU_k:  0.8842
(11/101) Batch: 1.638s | TOTAL: 0min | ETA: 2min | Loss: 0.0596 | Acc_t:  0.9685 | IOU_t:  0.9298 | IOU_k:  0.8855
(12/101) Batch: 1.623s | TOTAL: 0min | ETA: 2min | Loss: 0.0597 | Acc_t:  0.9677 | IOU_t:  0.9291 | IOU_k:  0.8867
(13/101) Batch: 1.616s | TOTAL: 0min | ETA: 2min | Loss: 0.0591 | Acc_t:  0.9672 | IOU_t:  0.9289 | IOU_k:  0.8875
(14/101) Batch: 1.594s | TOTAL: 0min | ETA: 2min | Loss: 0.0583 | Acc_t:  0.9673 | IOU_t:  0.9296 | IOU_k:  0.8875
(15/101) Batch: 1.587s | TOTAL: 0min | ETA: 2min | Loss: 0.0583 | Acc_t:  0.9663 | IOU_t:  0.9286 | IOU_k:  0.8858
(16/101) Batch: 1.573s | TOTAL: 0min | ETA: 2min | Loss: 0.0575 | Acc_t:  0.9662 | IOU_t:  0.9290 | IOU_k:  0.8859
(17/101) Batch: 1.588s | TOTAL: 0min | ETA: 2min | Loss: 0.0583 | Acc_t:  0.9646 | IOU_t:  0.9271 | IOU_k:  0.8843
(18/101) Batch: 1.606s | TOTAL: 0min | ETA: 2min | Loss: 0.0575 | Acc_t:  0.9645 | IOU_t:  0.9278 | IOU_k:  0.8851
(19/101) Batch: 1.613s | TOTAL: 0min | ETA: 2min | Loss: 0.0567 | Acc_t:  0.9647 | IOU_t:  0.9289 | IOU_k:  0.8857
(20/101) Batch: 1.618s | TOTAL: 1min | ETA: 2min | Loss: 0.0566 | Acc_t:  0.9639 | IOU_t:  0.9280 | IOU_k:  0.8860
(21/101) Batch: 1.611s | TOTAL: 1min | ETA: 2min | Loss: 0.0561 | Acc_t:  0.9643 | IOU_t:  0.9288 | IOU_k:  0.8863
